SpeedThroughWater,1.7
SoG,1273.9
Log,3971.30
CoG,342
SoG,1.8
Heading,328
Windspeed,9.2
WindAngle,339
Heading,328
Latitude,43.9435779
Longitude,15.4286714
Windspeed,9.2
WindAngle,339
CoG,342
SoG,1.7
Heading,328
Windspeed,9.2
WindAngle,339
Latitude,43.9435793
Longitude,15.4286714
Heading,328
Windspeed,9.2
WindAngle,335
CoG,342
SoG,1.7
Latitude,43.9435793
Longitude,15.4286714
Heading,327
Windspeed,9.2
WindAngle,335
Heading,327
Windspeed,9.2
WindAngle,335
CoG,342
SoG,1.7
Heading,327
Windspeed,9.2
WindAngle,335
Heading,327
Windspeed,9.2
WindAngle,335
CoG,342
SoG,1.7
Latitude,43.9435829
Longitude,15.4286701
Heading,327
Windspeed,9.2
WindAngle,335
Latitude,43.9435844
Longitude,15.4286699
Heading,326
Depth,11.8
DepthOffset,-0.001
Windspeed,9.2
WindAngle,335
SpeedThroughWater,1.5
SoG,1273.9
CoG,342
SoG,1.7
Heading,326
Windspeed,9.2
WindAngle,335
Heading,326
Windspeed,9.2
WindAngle,335
CoG,341
SoG,1.7
Latitude,43.9435864
Longitude,15.4286692
Heading,326
Windspeed,9.2
WindAngle,335
Heading,326
Latitude,43.9435881
Longitude,15.4286685
Windspeed,9.0
WindAngle,341
CoG,341
SoG,1.7
Latitude,43.9435881
Longitude,15.4286685
Heading,325
Windspeed,9.0
WindAngle,341
Heading,325
Windspeed,9.0
WindAngle,341
CoG,341
SoG,1.7
Heading,325
Windspeed,9.0
WindAngle,341
Heading,325
Windspeed,9.0
WindAngle,341
CoG,340
SoG,1.7
Heading,325
Windspeed,9.0
WindAngle,341
Latitude,43.9435930
Longitude,15.4286664
Heading,324
Depth,11.9
DepthOffset,-0.001
Windspeed,9.0
WindAngle,341
SpeedThroughWater,1.5
SoG,1273.9
Log,3971.30
Heading,324
CoG,340
SoG,1.7
Windspeed,9.0
WindAngle,341
Heading,324
Windspeed,9.0
WindAngle,341
Heading,324
CoG,340
SoG,1.7
Windspeed,9.0
WindAngle,341
Heading,323
Latitude,43.9435963
Longitude,15.4286645
Windspeed,8.6
WindAngle,341
Heading,323
CoG,339
SoG,1.7
Windspeed,8.6
WindAngle,341
Heading,323
Windspeed,8.6
WindAngle,341
Heading,323
CoG,339
SoG,1.7
Latitude,43.9435978
Longitude,15.4286635
Windspeed,8.6
WindAngle,341
Heading,323
Windspeed,8.6
WindAngle,341
Heading,322
CoG,338
SoG,1.7
Windspeed,8.6
WindAngle,341
Heading,322
Depth,12.0
DepthOffset,-0.001
Windspeed,8.6
WindAngle,341
SpeedThroughWater,1.5
SoG,1273.9
Heading,322
CoG,338
SoG,1.7
Latitude,43.9436011
Longitude,15.4286628
Windspeed,8.6
WindAngle,341
Heading,322
Windspeed,8.6
WindAngle,341
Heading,321
CoG,338
SoG,1.7
Windspeed,8.6
WindAngle,341
Heading,321
Latitude,43.9436041
Longitude,15.4286616
Windspeed,8.4
WindAngle,342
Heading,321
CoG,338
SoG,1.7
Windspeed,8.4
WindAngle,342
Heading,321
Windspeed,8.4
WindAngle,342
Heading,321
CoG,338
SoG,1.7
Windspeed,8.4
WindAngle,342
Heading,320
Windspeed,8.4
WindAngle,342
Heading,320
CoG,338
SoG,1.7
Windspeed,8.4
WindAngle,342
Heading,320
Depth,12.0
DepthOffset,-0.001
Windspeed,8.4
WindAngle,342
SpeedThroughWater,1.5
SoG,1273.9
Log,3971.30
Heading,320
CoG,338
SoG,1.7
Windspeed,8.4
WindAngle,342
Latitude,43.9436093
Longitude,15.4286597
Heading,319
Windspeed,8.4
WindAngle,342
Heading,319
CoG,338
SoG,1.7
Latitude,43.9436114
Longitude,15.4286590
Windspeed,8.4
WindAngle,342
Heading,319
Latitude,43.9436130
Longitude,15.4286585
Heading,319
CoG,338
SoG,1.7
Windspeed,8.3
WindAngle,343
Heading,319
Windspeed,8.3
WindAngle,343
Heading,318
CoG,338
SoG,1.7
Latitude,43.9436149
Longitude,15.4286579
Windspeed,8.3
WindAngle,343
Heading,318
Windspeed,8.3
WindAngle,343
Heading,318
CoG,338
SoG,1.7
Heading,318
Depth,11.8
DepthOffset,-0.001
Windspeed,8.3
WindAngle,343
SpeedThroughWater,1.5
SoG,1273.9
Log,3971.30
Heading,317
CoG,338
SoG,1.8
Windspeed,8.3
WindAngle,343
Heading,317
Windspeed,8.3
WindAngle,343
Heading,317
CoG,338
SoG,1.7
Windspeed,8.3
WindAngle,343
Heading,317
Windspeed,8.4
WindAngle,349
Latitude,43.9436212
Longitude,15.4286547
Heading,317
CoG,338
SoG,1.7
Windspeed,8.4
WindAngle,349
